titulo,autor,isbn,precio,condicion,tipo,categoria
El laberinto de los espíritus,Carlos Ruiz Zafón,,8000,buen_estado,venta,Ficción
El juego del ángel,Carlos Ruiz Zafón,,7000,buen_estado,venta,Ficción
El príncipe de la niebla,Carlos Ruiz Zafón,,6000,buen_estado,venta,Ficción
Marina,Carlos Ruiz Zafón,,6000,buen_estado,venta,Ficción
El código Da Vinci,Dan Brown,,6000,buen_estado,venta,Ficción
El símbolo perdido,Dan Brown,,6000,buen_estado,venta,Ficción
La conspiración,Dan Brown,,6000,buen_estado,venta,Ficción
Harry Potter y la piedra filosofal,J.K. Rowling,,8000,buen_estado,venta,Ficción
Fahrenheit 451,Ray Bradbury,,6000,buen_estado,venta,Ficción
Crónicas marcianas,Ray Bradbury,,6000,buen_estado,venta,Ficción
Tengo miedo torero,Pedro Lemebel,,7000,buen_estado,venta,Literatura chilena
La isla bajo el mar,Isabel Allende,,6000,buen_estado,venta,Ficción
Paula,Isabel Allende,,6000,buen_estado,venta,Ficción
Vida y espíritu,Isabel Allende,,5000,buen_estado,venta,Ficción
El otoño del patriarca,Gabriel García Márquez,,7000,buen_estado,venta,Ficción
Un affaire casi perfecto,Elizabeth Subercaseaux,,5000,buen_estado,venta,Literatura chilena
Clínica Jardín del Este,Elizabeth Subercaseaux,,5000,buen_estado,venta,Literatura chilena
El matrimonio a la chilena,Elizabeth Subercaseaux,,5000,buen_estado,venta,Literatura chilena
Cuéntame tus sueños,Sidney Sheldon,,5000,buen_estado,venta,Ficción
La mujer de los mil secretos,Barbara Wood,,5000,buen_estado,venta,Ficción
Las vírgenes del paraíso,Barbara Wood,,5000,buen_estado,venta,Ficción
Armonía rota,Barbara Wood,,5000,buen_estado,venta,Ficción
La república de Rose Madder,Stephen King,,6000,buen_estado,venta,Ficción
El senador,Drew Pearson,,4000,buen_estado,venta,Ficción
El undécimo mandamiento,Jeffrey Archer,,5000,buen_estado,venta,Ficción
El avión presidencial ha desaparecido,R. J. Serling,,4000,buen_estado,venta,Ficción
Grey,E. L. James,,4000,buen_estado,venta,Ficción
Luna nueva,Stephenie Meyer,,4000,buen_estado,venta,Ficción
Bleachers,John Grisham,,5000,buen_estado,venta,Ficción
Yo amo a mi mami,Jaime Bayly,,4000,buen_estado,venta,Ficción
Las 48 leyes del poder,Robert Greene,,8000,buen_estado,venta,Desarrollo personal
Padre Rico Padre Pobre,Robert T. Kiyosaki,,7000,buen_estado,venta,Desarrollo personal
El poder del ahora,Eckhart Tolle,,7000,buen_estado,venta,Desarrollo personal
La riqueza que el dinero no puede comprar,Robin Sharma,,6000,buen_estado,venta,Desarrollo personal
Manifiesto para los héroes de cada día,Robin Sharma,,6000,buen_estado,venta,Desarrollo personal
Breves respuestas a las grandes preguntas,Stephen Hawking,,7000,buen_estado,venta,No Ficción
Una vida sin límites,Nick Vujicic,,5000,buen_estado,venta,Desarrollo personal
Primero rompa todas las reglas,Marcus Buckingham,,5000,buen_estado,venta,Desarrollo personal
Historia secreta de Chile,Jorge Baradit,,8000,buen_estado,venta,Literatura chilena
Código Chile,Carlos Basso,,6000,buen_estado,venta,Literatura chilena
Ego sum pinochet,Raúl Correa,,6000,buen_estado,venta,No Ficción
Adiós al séptimo de línea,Jorge Inostrosa,,5000,buen_estado,venta,Literatura chilena
Álgebra,Baldor,,8000,buen_estado,venta,Académico
Geometría y trigonometría,Baldor,,8000,buen_estado,venta,Académico
Aritmética,Baldor,,7000,buen_estado,venta,Académico
Novelas de Maigret I,Georges Simenon,,6000,buen_estado,venta,Ficción
Novelas de Maigret VI,Georges Simenon,,6000,buen_estado,venta,Ficción
